,1,10,20,30,50,100
1,25.7396449704,36.3060016906,42.5190194421,45.6466610313,49.1546914624,52.3668639053
5,31.6568047337,57.7345731192,62.045646661,65.7227387997,67.1174978867,66.314454776
10,32.2062552832,64.3279797126,68.5967878276,69.2730346577,71.4285714286,71.639898563
20,32.2485207101,69.1039729501,72.5697379544,74.0912933221,74.4294167371,73.753169907
40,36.7286559594,73.7954353339,75.9087066779,76.0355029586,77.3879966188,76.3736263736
60,34.4885883347,74.9788672866,77.6838546069,78.7827557058,77.4725274725,77.2189349112
100,37.9120879121,76.7540152156,80.2197802198,77.4302620456,79.6703296703,79.8816568047
150,38.0388841927,79.6280642434,79.8816568047,80.5579036348,79.8393913779,79.0363482671
200,40.3212172443,80.135249366,80.8960270499,81.2341504649,81.2341504649,80.1775147929
400,40.78613694,83.2206255283,83.8968723584,83.8123415046,83.7700760778,83.8546069315
600,44.2096365173,84.4885883347,84.8267117498,85.2916314455,84.9535080304,85.7565511412
800,43.4065934066,86.5595942519,86.0946745562,87.6162299239,86.3060016906,86.7709213863
1200,47.5908706678,87.235841082,87.7007607777,87.5316990702
2000,43.1952662722,87.7430262046,88.0388841927,88.5038038884
